"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"2223D2584B189BDA","classic_bike","2024-05-29 13:40:33","2024-05-29 13:59:41","Bowdoin St at Quincy St","B32031","Christian Science Plaza - Massachusetts Ave at Westland Ave","B32005",42.30785224238503,-71.06512248516083,42.3436658245146,-71.08582377433777,"member"
"96EA32F96F1EDB68","classic_bike","2024-05-09 18:28:25","2024-05-09 18:36:00","Mugar Way at Beacon St","D32017","Blossom St at Charles St","D32050",42.355536284897084,-71.07286870479584,42.36435589027983,-71.0695936904267,"member"
"FA3D2E0C93FC6106","classic_bike","2024-05-02 14:57:16","2024-05-02 15:07:48","Brookline Village - Station Street at MBTA","K32003","Landmark Center - Brookline Ave at Park Dr","B32015",42.33274392304887,-71.11626680949485,42.343690557197476,-71.10235286881107,"casual"
"1B06C3F3908BFF50","classic_bike","2024-05-02 17:28:58","2024-05-02 17:44:19","Mugar Way at Beacon St","D32017","Landmark Center - Brookline Ave at Park Dr","B32015",42.355536284897084,-71.07286870479584,42.343690557197476,-71.10235286881107,"casual"
"EDBDA5B466F9CE2E","classic_bike","2024-05-15 17:37:02","2024-05-15 17:45:09","Brookline Village - Station Street at MBTA","K32003","Marion St at Harvard St","K32012",42.33274392304887,-71.11626680949485,42.340122426966424,-71.12070563810447,"member"
"73DBA585B9E6E960","classic_bike","2024-05-22 18:09:09","2024-05-22 18:16:59","Brookline Village - Station Street at MBTA","K32003","Landmark Center - Brookline Ave at Park Dr","B32015",42.33274392304887,-71.11626680949485,42.343690557197476,-71.10235286881107,"member"
"EE73ACACCF8877B4","classic_bike","2024-05-10 01:11:08","2024-05-10 01:18:15","Tremont St at West St","D32014","Columbus Ave at W. Canton St","C32077",42.354979,-71.063348,42.34474224772802,-71.07648162175792,"member"
"7B010A616E24E148","classic_bike","2024-05-28 18:25:15","2024-05-28 18:34:50","Mugar Way at Beacon St","D32017","Columbus Ave at W. Canton St","C32077",42.355536284897084,-71.07286870479584,42.34474224772802,-71.07648162175792,"member"
"F1E101B4EFBB5864","electric_bike","2024-05-07 19:16:44","2024-05-07 19:33:42","Assembly Square T","S32018","South Station - 700 Atlantic Ave","A32010",42.39238739,-71.077402472,42.352175,-71.055547,"member"
"980C2FC1FBDA468B","classic_bike","2024-05-20 15:57:04","2024-05-20 16:21:12","Bowdoin St at Quincy St","B32031","Williams St at Washington St","D32040",42.30785224238503,-71.06512248516083,42.306539,-71.107669,"member"
"D6D79CB0259334A6","classic_bike","2024-05-25 14:00:52","2024-05-25 14:54:36","Congress St at Boston City Hall","D32009","Silber Way","D32032",42.36041774637169,-71.05752243543975,42.34949599514002,-71.10057592391968,"casual"
