Last Updated:,5/22/2024,,,,,,
Number,NAME,Lat,Long,Seasonal Status,Municipality,Total Docks,Station ID (to match to historic system data)
L32001,Railroad Lot and Minuteman Bikeway,42.41606457,-71.15336637,Year Round,Arlington,11,461
L32002,Linwood St at Minuteman Bikeway,42.40935396,-71.14906519,Year Round,Arlington,11,462
L32005,Thorndike Field at Minuteman Bikeway,42.40016805,-71.14456963,Year Round,Arlington,11,480
L32003,Mass Ave at Grafton St,42.40726052,-71.14382132,Winter Storage,Arlington,11,464
L32004,Broadway at Grafton St,42.40994213,-71.1400932,Winter Storage,Arlington,11,465
L32006,Mass Ave at Broadway,42.41420213,-71.15051883,Winter Storage,Arlington,11,510
A32000,Fan Pier,42.35339051,-71.0445714,Year Round,Boston,15,7
A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Year Round,Boston,19,8
A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Year Round,Boston,15,9
A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Year Round,Boston,11,10
A32004,Longwood Ave at Binney St,42.338629,-71.1065,Year Round,Boston,15,11
A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Year Round,Boston,15,15
A32006,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,Year Round,Boston,15,17
A32008,Park Dr at Buswell St,42.347241,-71.105301,Year Round,Boston,15,19
A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Year Round,Boston,15,25
A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Year Round,Boston,47,22
A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Year Round,Boston,19,29
A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Year Round,Boston,27,41
A32013,Surface Rd at India St,42.358155,-71.052163,Year Round,Boston,19,151
A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Year Round,Boston,15,66
A32019,175 N Harvard St,42.36447457,-71.12840831,Year Round,Boston,18,149
A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Year Round,Boston,19,169
A32023,Bunker Hill Community College,42.37408991,-71.06905997,Year Round,Boston,23,171
A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Year Round,Boston,37,190
A32026,Purchase St at Pearl St,42.354659,-71.053181,Year Round,Boston,19,192
A32028,Bennington St at Byron St,42.38353252,-71.01619095,Year Round,Boston,15,210
A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Year Round,Boston,33,212
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Year Round,Boston,16,213
A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Year Round,Boston,15,215
A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Year Round,Boston,19,217
A32036,Boston East - 126 Border St,42.37331213,-71.04102008,Year Round,Boston,15,219
A32039,Bennington St at Constitution Beach,42.38522394,-71.01063069,Year Round,Boston,17,355
A32040,Honan Library,42.3602737,-71.12852452,Year Round,Boston,15,376
A32041,Central Square East Boston,42.37544913,-71.03918549,Year Round,Boston,15,419
A32042,Surface Rd at Summer St,42.3529457,-71.05656401,Year Round,Boston,27,426
A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Year Round,Boston,15,436
A32045,Boston Landing,42.35656092,-71.14167538,Year Round,Boston,17,440
A32049,Gove St at Orleans St,42.37057753,-71.0355854,Year Round,Boston,19,478
A32050,Porzio Park,42.36411904,-71.02876782,Year Round,Boston,17,483
A32051,Day Sq,42.379295,-71.027733,Year Round,Boston,16,489
