WEEK_NUMBER,WEEK_NUMBER_LIVE_SHOW,ARTIST,PLAY_COUNT,PLAY_COUNT_BEFORE,PLAY_COUNT_AFTER
1,1,TEKE::TEKE,5,5,0
1,4,Ibibio Sound Machine,4,4,0
1,7,King Gizzard & the Lizard Wizard,2,2,0
1,7,King Gizzard and the Lizard Wizard,1,1,0
1,8,Amyl and The Sniffers,2,2,0
1,11,Spellling,1,1,0
1,12,Xenia Rubinos,2,2,0
1,12,tUnE-yArDs,1,1,0
1,13,Khruangbin,6,6,0
1,13,Say She She,2,2,0
1,14,beabadoobee,2,2,0
1,18,Hibou,7,7,0
1,19,Luna,3,3,0
1,21,Pierre Kwenders,1,1,0
1,22,Sofi Tukker,1,1,0
1,23,Clinton Fearon,7,7,0
1,24,Viagra Boys,1,1,0
1,26,KAINA,2,2,0
1,27,Superchunk,2,2,0
1,30,Caroline Polachek,7,7,0
1,34,Digable Planets,6,6,0
1,34,Kassa Overall,1,1,0
1,35,All Them Witches,1,1,0
1,39,MAITA,1,1,0
1,45,Tamikrest,1,1,0
1,46,Spirit Award,1,1,0
1,47,Black Belt Eagle Scout,11,11,0
1,50,The Budos Band,6,6,0
1,51,The Mountain Goats,3,3,0
2,1,TEKE::TEKE,2,0,2
2,2,Ethel Cain,4,4,0
2,4,Ibibio Sound Machine,5,5,0
2,5,Julia Jacklin,1,1,0
2,8,Amyl and The Sniffers,2,2,0
2,11,Spellling,1,1,0
2,12,Xenia Rubinos,1,1,0
2,12,tUnE-yArDs,2,2,0
2,13,Khruangbin,10,10,0
2,14,beabadoobee,1,1,0
2,15,Duo Ruut,1,1,0
2,18,Hibou,10,10,0
2,19,Luna,1,1,0
2,22,Sofi Tukker,4,4,0
2,23,Clinton Fearon,11,11,0
2,24,Viagra Boys,9,9,0
2,26,KAINA,3,3,0
2,26,Sen Morimoto,2,2,0
2,27,Superchunk,1,1,0
2,29,Los Mirlos,1,1,0
2,30,Caroline Polachek,9,9,0
2,34,Digable Planets,19,19,0
2,34,Kassa Overall,1,1,0
2,35,All Them Witches,1,1,0
2,37,Deerhoof,2,2,0
2,39,MAITA,2,2,0
2,45,Tamikrest,1,1,0
2,47,Black Belt Eagle Scout,5,5,0
2,50,The Budos Band,1,1,0
3,1,TEKE::TEKE,1,0,1
3,3,Hania Rani,4,4,0
3,4,Ibibio Sound Machine,8,8,0
3,11,Spellling,3,3,0
3,12,Xenia Rubinos,1,1,0
3,12,tUnE-yArDs,1,1,0
3,13,Khruangbin,6,6,0
3,13,Say She She,1,1,0
3,14,beabadoobee,1,1,0
3,15,Duo Ruut,3,3,0
3,18,Hibou,11,11,0
3,19,Luna,4,4,0
3,23,Clinton Fearon,7,7,0
3,24,Viagra Boys,1,1,0
